Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-02-20,2014,2,20,Thursday,07,2014-07,215.01,215.21,206.27,209.97,18002300,209.97,0.0843317593602908,190.7321428571429,174.52735294117647
2014-02-21,2014,2,21,Friday,07,2014-07,211.64,213.98,209.19,209.6,7818800,209.6,-0.0017621332334927242,192.7457142857143,175.52942857142858
2014-02-24,2014,2,24,Monday,08,2014-08,208.76,218.36,208.32,217.65,8278400,217.65,0.038406429191576885,195.6414285714286,176.69944444444445
2014-02-25,2014,2,25,Tuesday,08,2014-08,230.0,259.2,228.45,248.0,32681700,248.0,0.13944409351993947,200.58928571428575,178.6264864864865
2014-02-26,2014,2,26,Wednesday,08,2014-08,258.58,265.0,247.5,253.0,24604600,253.0,0.02016129032258074,206.2021428571429,180.58368421052631
2014-02-27,2014,2,27,Thursday,08,2014-08,261.25,261.9,248.33,252.54,17945800,252.54,-0.0018182083552062966,211.49928571428572,182.42871794871795
2014-02-28,2014,2,28,Friday,08,2014-08,249.65,252.68,242.55,244.81,14589800,244.81,-0.030608996329467786,215.66214285714287,183.98825000000002
2014-03-03,2014,3,3,Monday,09,2014-09,237.26,251.65,234.99,250.56,13089300,250.56,0.023487602864845414,219.5192857142857,185.6119512195122
2014-03-04,2014,3,4,Tuesday,09,2014-09,258.48,260.0,252.83,254.84,8745600,254.84,0.017081732203864552,223.67785714285716,187.26023809523812
2014-03-05,2014,3,5,Wednesday,09,2014-09,256.72,256.99,251.8,252.66,5935700,252.66,-0.008554358448862986,227.77357142857142,188.7811627906977
2014-03-06,2014,3,6,Thursday,09,2014-09,254.14,257.5,249.45,252.94,7361100,252.94,0.001108203812390185,231.58142857142857,190.2393181818182
2014-03-07,2014,3,7,Friday,09,2014-09,252.94,254.85,244.41,246.21,7812300,246.21,-0.02660708335012396,235.00857142857143,191.4831111111111
2014-03-10,2014,3,10,Monday,10,2014-10,242.7,243.0,236.06,238.84,7728100,238.84,-0.029933837679236186,237.51857142857145,192.51260869565218
2014-03-11,2014,3,11,Tuesday,10,2014-10,236.5,244.6,232.43,234.41,8810100,234.41,-0.018547951531175166,240.4307142857143,193.4040425531915
2014-03-12,2014,3,12,Wednesday,10,2014-10,231.5,247.5,231.11,241.49,9754400,241.49,0.03020349695169222,242.6821428571429,194.40583333333333
2014-03-13,2014,3,13,Thursday,10,2014-10,243.79,244.19,234.0,237.79,6236300,237.79,-0.015321595605893412,244.69571428571433,195.29122448979592
2014-03-14,2014,3,14,Friday,10,2014-10,235.29,236.94,228.32,230.97,8289700,230.97,-0.028680736187343236,245.64714285714288,196.0048
2014-03-17,2014,3,17,Monday,11,2014-11,234.95,237.93,230.5,233.98,5912600,233.98,0.013031971645355522,244.64571428571432,197.68239999999997
2014-03-18,2014,3,18,Tuesday,11,2014-11,236.95,241.5,235.02,240.04,6242300,240.04,0.025899639581369982,243.72000000000003,199.49200000000002
2014-03-19,2014,3,19,Wednesday,11,2014-11,241.39,241.55,233.51,235.84,5071300,235.84,-0.017497071595214186,242.5271428571429,201.2688
2014-03-20,2014,3,20,Thursday,11,2014-11,236.16,239.25,233.36,234.91,3817900,234.91,-0.003943320430046304,241.82000000000002,202.97979999999998
2014-03-21,2014,3,21,Friday,11,2014-11,236.02,236.2,227.5,228.89,8216900,228.89,-0.02562685359760164,240.27214285714288,204.53199999999998
2014-03-24,2014,3,24,Monday,12,2014-12,229.75,229.9,210.27,220.17,11328800,220.17,-0.03809690787695241,237.7957142857143,205.98479999999995
2014-03-25,2014,3,25,Tuesday,12,2014-12,224.14,227.05,217.9,220.44,7865400,220.44,0.0012263445278941631,235.49428571428575,207.4792
2014-03-26,2014,3,26,Wednesday,12,2014-12,221.95,222.6,211.35,212.96,6907300,212.96,-0.033932115971225696,232.63857142857145,208.95159999999996
