,index,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Profit/Loss,Account Balance
0,1007,2018-01-02,2018,1,2,Tuesday,0,2018-00,312.0,322.11,311.0,320.53,4352200,320.53,0.029484478868868624,328.09857142857163,318.7066000000004,0.0,100.0
1,1008,2018-01-03,2018,1,3,Wednesday,0,2018-00,321.0,325.25,315.55,317.25,4521500,317.25,-0.010233047739021006,326.4000000000001,318.14960000000036,-1.0233047739021006,98.9766952260979
2,1009,2018-01-04,2018,1,4,Thursday,0,2018-00,312.87,318.55,305.68,314.62,9946300,314.62,-0.008290007510835307,324.6564285714288,317.7016000000004,-0.8205175468220086,98.1561776792759
3,1010,2018-01-05,2018,1,5,Friday,0,2018-00,316.62,317.24,312.0,316.58,4591200,316.58,0.006229710398247601,323.1342857142858,317.28640000000036,0.6114845607408241,98.76766224001672
4,1011,2018-01-08,2018,1,8,Monday,1,2018-01,316.0,337.02,315.5,336.41,9859400,336.41,0.06263825235622457,322.63142857142867,317.4978000000003,6.18663375202452,104.95429599204124
5,1012,2018-01-09,2018,1,9,Tuesday,1,2018-01,335.16,338.8,327.4,333.69,7146600,333.69,-0.008085375556890706,322.26142857142867,317.6482000000004,-0.8485948994047224,104.10570109263652
6,1013,2018-01-10,2018,1,10,Wednesday,1,2018-01,332.2,337.0,330.0,334.8,4309900,334.8,0.003326396785763519,322.5257142857144,317.92680000000036,0.3462968694942038,104.45199796213073
7,1014,2018-01-11,2018,1,11,Thursday,1,2018-01,335.24,344.81,333.26,337.95,6645500,337.95,0.009408675414917857,323.1664285714287,318.2842000000004,0.9827549452653496,105.43475290739609
8,1015,2018-01-12,2018,1,12,Friday,1,2018-01,338.63,340.41,333.67,336.22,4825100,336.22,-0.005119132782478775,323.492142857143,318.3780000000003,-0.5397345000208006,104.89501840737529
9,1016,2018-01-16,2018,1,16,Tuesday,2,2018-02,337.54,345.0,334.8,340.06,6474300,340.06,0.011421082398277438,324.5535714285716,318.7576000000003,1.1980146483994618,106.09303305577475
10,1017,2018-01-17,2018,1,17,Wednesday,2,2018-02,340.47,349.0,339.75,347.16,7103500,347.16,0.020878686568514212,326.68714285714304,319.7156000000003,2.2150831842745387,108.30811624004929
11,1018,2018-01-18,2018,1,18,Thursday,2,2018-02,345.67,352.3,343.74,344.57,5685800,344.57,-0.007460526300752891,329.0392857142859,320.4852000000003,-0.808035549793889,107.5000806902554
12,1019,2018-01-19,2018,1,19,Friday,2,2018-02,345.0,350.59,342.6,350.02,4888300,350.02,0.015816761684440683,331.5150000000002,321.4300000000003,1.7003031573359133,109.20038384759131
13,1020,2018-01-22,2018,1,22,Monday,3,2018-03,349.4,357.83,349.2,351.56,6210400,351.56,0.00439977313656148,334.387142857143,322.3402000000003,0.0,109.20038384759131
14,1021,2018-01-23,2018,1,23,Tuesday,3,2018-03,360.0,360.5,351.0,352.79,5465400,352.79,0.003498722820770128,336.69142857142873,323.3082000000004,0.0,109.20038384759131
15,1022,2018-01-24,2018,1,24,Wednesday,3,2018-03,354.58,354.75,343.52,345.89,5287500,345.89,-0.019558359730603825,338.73714285714306,324.1662000000004,0.0,109.20038384759131
16,1023,2018-01-25,2018,1,25,Thursday,3,2018-03,348.27,349.2,336.4,337.64,6740300,337.64,-0.023851512476835483,340.3814285714288,324.8592000000004,0.0,109.20038384759131
17,1024,2018-01-26,2018,1,26,Friday,3,2018-03,341.5,344.0,335.71,342.85,4539400,342.85,0.01543061020330461,342.25785714285735,325.40820000000036,0.0,109.20038384759131
18,1025,2018-01-29,2018,1,29,Monday,4,2018-04,339.85,350.85,338.28,349.53,4747100,349.53,0.01948371753496314,343.19500000000016,326.22480000000036,2.1276294335960206,111.32801328118734
19,1026,2018-01-30,2018,1,30,Tuesday,4,2018-04,345.14,348.27,342.17,345.82,4717700,345.82,-0.010614229016207344,344.06142857142885,326.91520000000037,-1.1816610288858953,110.14635225230144
20,1027,2018-01-31,2018,1,31,Wednesday,4,2018-04,347.51,356.19,345.19,354.31,6214100,354.31,0.024550315350653884,345.4550000000002,327.75140000000044,2.704127682518206,112.85047993481965
21,1028,2018-02-01,2018,2,1,Thursday,4,2018-04,351.0,359.66,348.63,349.25,4197700,349.25,-0.014281272313680482,346.26214285714315,328.43540000000047,-1.6116484346786946,111.23883150014095
22,1029,2018-02-02,2018,2,2,Friday,4,2018-04,348.44,351.95,340.51,343.75,3704800,343.75,-0.015748031496062964,346.80000000000024,329.1356000000004,-1.7517926220494606,109.48703887809148
23,1030,2018-02-05,2018,2,5,Monday,5,2018-05,337.97,344.47,333.0,333.13,4464100,333.13,-0.030894531249999968,346.30500000000023,329.4420000000004,0.0,109.48703887809148
24,1031,2018-02-06,2018,2,6,Tuesday,5,2018-05,325.21,336.22,323.5,333.97,5088400,333.97,0.002521527108271471,345.36285714285737,329.86940000000044,0.0,109.48703887809148
25,1032,2018-02-07,2018,2,7,Wednesday,5,2018-05,338.99,346.0,335.66,345.0,6969200,345.0,0.033026914809656034,345.3935714285717,330.4584000000005,0.0,109.48703887809148
26,1033,2018-02-08,2018,2,8,Thursday,5,2018-05,343.31,348.62,314.6,315.23,10314600,315.23,-0.08628982322803448,342.90857142857163,330.42680000000036,0.0,109.48703887809148
27,1034,2018-02-09,2018,2,9,Friday,5,2018-05,319.93,320.98,294.76,310.42,12933700,310.42,-0.015258691720194006,339.9700000000002,330.2842000000004,0.0,109.48703887809148
28,1035,2018-02-12,2018,2,12,Monday,6,2018-06,316.13,318.08,306.25,315.73,6227800,315.73,0.017105847976615518,337.32285714285734,330.4480000000004,1.8728686424584258,111.35990752054991
29,1036,2018-02-13,2018,2,13,Tuesday,6,2018-06,315.02,324.19,312.51,323.66,4560200,323.66,0.025116372849727675,335.7350000000002,330.74420000000043,2.7969569577973243,114.15686447834723
30,1037,2018-02-14,2018,2,14,Wednesday,6,2018-06,320.84,326.17,318.52,322.31,3950700,322.31,-0.004171062498426581,334.6400000000002,331.0598000000004,-0.4761554163635996,113.68070906198363
31,1038,2018-02-15,2018,2,15,Thursday,6,2018-06,324.5,334.12,322.4,334.07,5912900,334.07,0.036486642842926686,334.01285714285734,331.6372000000005,4.147827429675256,117.8285364916589
32,1039,2018-02-16,2018,2,16,Friday,6,2018-06,332.5,343.12,331.64,335.49,5642600,335.49,0.004250554910720128,333.0100000000002,332.2730000000005,0.5008366644075866,118.32937315606648
33,1040,2018-02-20,2018,2,20,Tuesday,7,2018-07,334.47,340.84,331.5,334.77,4009400,334.77,-0.002146118339328429,332.22071428571445,332.7032000000005,-0.2539488378114714,118.075424318255
34,1041,2018-02-21,2018,2,21,Wednesday,7,2018-07,336.03,339.69,333.17,333.3,3219600,333.3,-0.0043910782595362186,330.72000000000014,333.1444000000005,-0.5184784287094036,117.5569458895456
35,1042,2018-02-22,2018,2,22,Thursday,7,2018-07,335.53,347.44,334.75,346.17,6969800,346.17,0.03861393971235283,330.5000000000001,333.7652000000004,4.539336821347238,122.09628271089284
36,1043,2018-02-23,2018,2,23,Friday,7,2018-07,347.83,354.99,347.1,352.05,5817400,352.05,0.01698579928114396,331.09285714285727,334.2280000000004,2.0739029511010334,124.17018566199387
37,1044,2018-02-26,2018,2,26,Monday,8,2018-08,353.5,359.0,352.36,357.42,4340000,357.42,0.015253588470293122,332.82785714285734,334.5558000000004,0.0,124.17018566199387
38,1045,2018-02-27,2018,2,27,Tuesday,8,2018-08,356.25,359.99,350.01,350.99,4797400,350.99,-0.017990103944359737,334.0435714285715,334.79500000000036,0.0,124.17018566199387
39,1046,2018-02-28,2018,2,28,Wednesday,8,2018-08,352.57,355.24,342.22,343.06,6069700,343.06,-0.022593216035836083,333.9050000000001,334.8984000000005,0.0,124.17018566199387
40,1047,2018-03-01,2018,3,1,Thursday,8,2018-08,345.01,348.67,330.07,330.93,6885600,330.93,-0.03535826085564153,335.02642857142877,334.6480000000005,0.0,124.17018566199387
41,1048,2018-03-02,2018,3,2,Friday,8,2018-08,326.98,335.22,322.97,335.12,5092800,335.12,0.012661295543288098,336.79071428571444,334.5730000000005,0.0,124.17018566199387
42,1049,2018-03-05,2018,3,5,Monday,9,2018-09,332.39,337.75,329.29,333.35,3823800,333.35,-0.00528165743453457,338.0492857142859,334.6180000000004,0.0,124.17018566199387
43,1050,2018-03-06,2018,3,6,Tuesday,9,2018-09,333.75,336.37,327.03,328.2,4285700,328.2,-0.015449208946122341,338.3735714285716,334.6024000000005,0.0,124.17018566199387
44,1051,2018-03-07,2018,3,7,Wednesday,9,2018-09,325.44,332.5,321.74,332.3,5007300,332.3,0.01249230784108324,339.08714285714296,334.61520000000047,0.0,124.17018566199387
45,1052,2018-03-08,2018,3,8,Thursday,9,2018-09,332.86,333.3,326.27,329.1,3566200,329.1,-0.009629797794175056,338.73214285714306,334.69320000000045,0.0,124.17018566199387
46,1053,2018-03-09,2018,3,9,Friday,9,2018-09,324.1,328.49,322.37,327.17,5506800,327.17,-0.005864456517737593,338.13785714285734,334.89080000000035,0.0,124.17018566199387
47,1054,2018-03-12,2018,3,12,Monday,10,2018-10,328.61,347.21,326.5,345.51,8264000,345.51,0.0560564709025253,338.90500000000026,335.5682000000004,0.0,124.17018566199387
48,1055,2018-03-13,2018,3,13,Tuesday,10,2018-10,328.61,347.21,326.5,341.84,5965800,341.84,-0.010622017666648498,339.51500000000027,336.0978000000004,0.0,124.17018566199387
